rent	condominium	iptu	adress	area	room	car_space	bathroom	description	link
1100	670		Rua Thomas Alva Edison, Jardim Bela Vista	45	2	1	2	Apartamento residencial para LocaçãoÓtimo apartamento com 02 dormitórios, cozinha com armários, lavanderia separada, banheiro, sacada. Boa Localização , próximo a merca...	
6000	850	678	Avenida Araçá, Loteamento Alphaville Campinas	330	3	4	5	Sobrado à venda no condomínio Alphaville Campinas, estilo europeu. Rica em madeiramento, pé direito alto, sala para dois ambientes, sala de TV, suíte no primeiro piso, escritório,...	
8500		650	Vila Nova, Campinas	320	0	0	2	Barracão ,Av.Carolina Florence ,Excelente para oficina ,lojas e comercio em geral , em termino de pintura ,mezanino ,escritório ,copa ,3 banheiros ,4 vagas de garagem com 320 M2 co...	
1900	80781	102	Rua Ana Jarvis, Cambuí	32	0	1	1	Prédio comercial com recepção moderna. Sala de frente para locação com vista total espelhada com 32 m², banheiro, mini copa, piso frio, ar condicionado e 1 vaga de garagem coberta....	
1300			Rua Herminio Camargo Souza, Dic V Conjunto Habitacional Chico Mendes	99	3	1	2	Casa para locação no DIC 5, com 03 dormitórios, sendo 01 suíte, copa muito espaçosa, garagem coberta para 01 carro, armários planejados.SOBRE A IMOBILIÁRIA SIMBRASIL: Foi i...	
2380	82674	159	Rua Dona Josefina Sarmento, Cambuí	63	2	1	2	Apartamento para locação. Prédio novo, localização desejada, próximo à padaria, escolas, comércios, praça, 2 suítes com armários, lavabo, sala para 2 ambientes com sacada, cozinha...	
1900		170	Rua Jacob Bereck Steinberg, Jardim Chapadão	130	3	3	2	Ótima localização, no bairro Jardim Chapadão, próximo a Avenida Marechal Rondon.Casa com 3 dormitórios com armários, sendo uma suíte, 2 banheiros, sala ampla para dois ambiente...	
3500		450	Jardim Sao Francisco Sousas, Campinas	356	3	4	4	Casa com dois andares, 03 dormitórios sendo 01 suíte com sacada e closets; 04 salas, quintal e churrasqueira. Ampla, arejada e situada em local privilegiado ao lado da principal av...	
1800	440	150	Rua Martinho Calsavara, Swift	78	3	1	2	Apartamento para locação Perfect LIfe .Localização próximo às faculdades Mandic / Unip.Excelente apartamento, 78 m² sala 2 ambientes, sanca com spots, espelhos e papel de p...	
11000	4200	2066	Alameda dos Pinus, Sítios de Recreio Gramado	518	4	0	2	Linda casa a venda ou locação em condomínio fechado de alto padrão no Bairro Gramado, com 7.115 m² de terreno, 604 m² de área construída, com 4 dormitórios, sendo 2 suítes, sala de...	
1490	605	95	Vila Andrade Neves, Campinas	65	2	2	2	Apartamento mobiliado para alugar 2 dormitórios no Bonfim em Campinas na imobiliária CMB Imóveis.Excelente apartamento mobiliado, amplo e moderno, 2 dormitórios com armário...	
4500	703	300	Rua São Salvador, Taquaral	119	3	2	5	Excelente apartamento com 3 dormitórios sendo todos suítes ricos em armários, ampla sala 2 ambientes e Home Office, varanda gourmet, cozinha toda planejada, área de serviço e despe...	
2000			Jardim São José, Campinas	150	0	4	2	Salão comercial, contendo sala, recepção, escritório, mezanino aberto e 02 banheiros com pé direito de 06 metros, piso industrial, energia trifásica, portão de entrada com 4,5 m² d...	
1700	390	71	Swift, Campinas	59	2	1	1	Lindo apartamento no Swift com 2 dormitórios. Vista para piscina, andar alto, excelente localização, rack sala, armários embutidos na cozinha quarto principal e banheiros. Playgrou...	
4500		530	Jardim Paraíso, Campinas	416	5	4	6	CASA COMERCIAL PARA LOCAÇÃO EM CAMPINAS-SPNa região do Nova Campinas, esta casa com dois pavimentos, sendo 5 suítes, 3 salas, escritório, banheiro, sala de leitura, cozinha...	
8000	1957	1313	Alameda das Palmeiras, Sítios de Recreio Gramado	470	6	2	7	Sobrado para locação no Gramado, Campinas - Casa de alto padrão, acabamento externo em tijolo. Terreno amplo, entorno com muito verde. -	
1450			Jardim Myrian Moreira da Costa, Campinas	58	2	1	1		
3300	650	147	Rua Jasmim, Mansões Santo Antônio	87	3	2	2	Apartamento para Aluguel - Mansões Santo Antônio, 3 Quartos, 87 - Campinas	
1300		87	Rua Taubaté, Vila Industrial	93	3	2	1	Alugo casa para fins comerciais e residenciais no bairro da Vila Industrial, contendo 93,00 mts2.Imóvel com 3 dormitórios e sala, com teto de forro de madeira, piso laminado, c...	
1376	315	42	Rua Santa Rita do Passa Quatro, Parque Prado	51	2	1	2	Apartamento para Aluguel - Parque Prado, 2 Quartos, 51 - Campinas	
1000	81485	81	Rua Ernesto Khulmann, Centro	121	2	0	2	Apartamento no centro com 3 dormitórios sendo 1 com suite, sala ampla, cozinha , banheiro, área de serviço, 2 elevadores. -	
1630	330		Rua Doutor Jeber Juabre, Jardim Márcia	60	3	1	2	Apartamento para Aluguel - Campos Elíseos, 3 Quartos, 60 - Campinas	
3121	350		Rua da Gávea, Loteamento Caminhos de San Conrado	460	4	2	5	Casa para Aluguel - Loteamento Caminhos de San Conrado (Sousas), 4 Quartos, 460 - Campinas	
1490	597	120	Castelo, Campinas	70	2	2	2	Ótimo apto mobiliado, sol da manhã, fácil acesso ao centro, vista livre, pintura nova, com 70m², 02 dorms, sendo 01 suíte com sacada e armários, cama box, amplo living para 02 ambi...	
1900	900	200	Jardim Guanabara, Campinas	50	0	1	2	Sala comercial com excelente localização, ampla área interna, estrutura nova. Prédio com estacionamento (vallet), com recepção na entrada e sala de espera no prédio, sala de reuniã...	
7000	830	710	Avenida Araçá, Loteamento Alphaville Campinas	250	4	5	5	Casa para locação no Alphaville Campinas. Agradável residência em rua tranquila, no condomínio mais requisitado de Campinas, contendo quatro amplos dormitórios no piso superior, ri...	
25000	2700	1550	Avenida Doutor José Bonifácio Coutinho Nogueira, Jardim Madalena	844	5	8	8	Condomínio BougainvilleElegante e SofisticadaCasa com integração da sala de lareira e adega com a cozinha e espaço gourmet. Sofisticada nos acabamentos, piscina com...	
1200	347	57	Jardim Antonio Von Zuben, Campinas	51	2	1	2	Apartamento para Aluguel - Jardim Antonio Von Zuben, 2 Quartos, 51 - Campinas	
2147		85	Vila Mimosa, Campinas	140	3	5	2	Casa para Aluguel - Vila Mimosa, 3 Quartos, 140 - Campinas	
4800	890	120	Rua Santos Dumont, Cambuí	128	3	3	4	Apartamento alto padrão em localização privilegiada no Cambuí, com acabamento requintado, ambientes amplos, ar condicionado, varanda. Condomínio com lazer completo, espaço gourmet,...	
2625	530	125	Rua Adelino Martins, Mansões Santo Antônio	69	2	2	2	Apartamento para Aluguel - Mansões Santo Antônio, 2 Quartos, 69 - Campinas	
3200	600	200	Rua Santa Cruz, Cambuí	112	3	1	2	Apartamento inteiramente reformado em localização ímpar, ao lado de supermercado, academia e todas as conveniências. O imóvel inclui três dormitórios, sendo que um deles é suít...	
2500	470	136	Rua Alberto Cerqueira Lima, Taquaral	67	2	1	3	Apartamento para locação no Taquaral. Apartamento em excelente estado de conservação contendo 2 dormitórios com planejados sendo 2 suítes , sala, cozinha com planejados, área de se...	
1800	280	70	Rua Engenheiro Augusto de Figueiredo, Vila Progresso	52	2	1	1	Excelente apartamento com 02 dormitórios, living para 02 ambientes, cozinha americana planejada, área de serviço, 01 banheiro social, sacada e 01 vaga de garagem, apartamento todo...	
3800		220	Jardim Chapadão, Campinas	270	3	0	4	03 dormitórios sendo 01 suite com armários, escritório, ampla sala de estar, lavabo, sala de jantar, cozinha com armários. Garagem para até 05 carros. Portão eletrônico e alarme. P...	
1750		102	Vila Nova, Campinas	140	2	4	3	Ótima casa Comercial/Residencial com 02 dormitórios com armários planejados na Vila Nova, contendo 01 sala de estar/jantar, cozinha, piso frio e tacos de madeira, lavanderia fechad...	
4700		585	Nova Campinas, Campinas	400	5	4	6	Casa na nova Campinas com 4 suítes sendo 1 máster com closet, escritório, sala de leitura, 4 amplas salas, lavabos, 2 cozinhas, despensa, lavanderia com armários, área gourmet com...	
2100	750		Rua Saulo de Carvalho Luz, Jardim Aurélia	92	3	2	2	Apartamento para Aluguel - Jardim Aurélia, 3 Quartos, 92 - Campinas	
2300	679	145	Vila Brandina, Campinas	83	3	2	2	APARTAMENTO PARA LOCAÇÃO EM CAMPINAS/SP.Maravilhoso apartamento para locação em Campinas, na Vila Brandina. Apartamento ao lado do Shopping Iguatemi, Carrefour.Apartame...	
2000	680	129	Avenida Maria Emília Alves dos Santos de Ângelis, Parque Prado	65	2	2	2	Apartamento para Aluguel - Parque Prado, 2 Quartos, 65 - Campinas	
1200	306	86	Rua Vítor Meirelles, Jardim Samambaia	49	2	1	1	Apartamento para locação no Jardim Samambaia em Campinas, ótima localização próximo ao Extra e UnipVantagens do Imóvel:- Todos os móveis são novíssimos, em perfeito est...	
2693	550	204	Rua da Abolição, Ponte Preta	80	3	2	2	Apartamento para Aluguel - Ponte Preta, 3 Quartos, 80 - Campinas	
2600	40701	150	Rua Doutor Sampaio Peixoto, Cambuí	57	1	1	2	Apartamento para locação no Cambuí em Campinas. Localização estratégica no bairro, com fácil acesso as avenidas, escolas e comércios. Andar alto com linda vista, planta diferenciad...	
1157	470	106	Rua Buarque de Macedo, Guanabara	57	1	1	2	Apartamento para Aluguel - Guanabara, 1 Quarto, 57 - Campinas	
2700	480	265	Cambuí, Campinas	94	3	2	3	Venha morar no Cambuí com conforto e praticidade! Apartamento novo, 1° locação. Living para 2 ambientes com lavabo e sacada. Hall de acesso para 3 dormitórios, sendo uma suíte. Ban...	
1000	646	50	Avenida Barão de Itapura, Vila Itapura	52	1	1	2	Apartamento para Aluguel - Vila Itapura, 1 Quarto, 52 - Campinas	
3800	660	300	Rua Bortolo Martins, Barão Geraldo	300	3	2	4	Casa para Aluguel - Guará, 3 Quartos, 300 - Campinas	
3600		216	Jardim Chapadão, Campinas	197	0	4	3	Casa comercial/residencial com excelente localização, em frente a Escola de Cadetes, no bairro jardim Chapadão em Campinas!A casa dispõe de entradas independentes e possui...	
8000		835	Chácara Primavera, Campinas	504	3	16	1	COMERCIAL OU RESIDENCIALMANSÃO Divisao do imóvel: Cozinha Planejada, area de serviço, BANHEIROS, dormitorios, Sala de Jantar, Sala de Estar, Sala de TV, vagas de garage...	
